Sample No.;Reference;V (PbBr2 prec.);c (PbBr2);c (OlAm);c (OA);V (Cs-OA);c (Cs-OA);Cs/Pb;antisolvent;V (antisolvent);Cp;RP (antisolvent);perovskite ?;n (ML);NC shape;monodispersity;PLQY;suggestion;include PLQY;S/P;Age of prec
148;240410;4320;0.061;0.02128;0.02835;834;0.003;0.009;DMF;2980;;0.386;0;-;-;0;0;;;P;-
149;240418;3965;0.01;0.02128;0.02835;464;0.0156;0.183;MeAc;1990;;0.253;1;2;NPL;1;0.0344;nr_of_nano_2_tradeoff_0.1;1;P;-
150;240418;2205;0.01;0.02128;0.02835;473;0.0164;0.352;MeAc;1445;;0.253;1;-;NPL;0;0.0722;nr_of_nano_2_tradeoff_100;;P;-
151;240418;1615;0.01;0.02128;0.02835;373;0.0159;0.367;n-PrOH;1585;;0.617;1;3;NPL;1;0.0385;nr_of_nano_3_tradeoff_0.1;1;P;-
152;240418;530;0.01;0.02128;0.02835;312;0.0138;0.812;EtAc;4050;;0.228;1;-;NPL;0;0.313;nr_of_nano_3_tradeoff_100;;P;-
153;240418;1380;0.01;0.02128;0.02835;385;0.0146;0.407;n-PrOH;1850;;0.617;1;-;NPL;0;0.1079;nr_of_nano_4_tradeoff_0.1;;P;-
154;240418;1330;0.01;0.02128;0.02835;26;0.0107;0.021;i-PrOH;3800;;0.546;1;3;NPL;1;0.104;nr_of_nano_4_tradeoff_100;;P;-
155;240418;1270;0.01;0.02128;0.02835;448;0.0113;0.399;n-PrOH;1965;;0.617;1;-;NPL;0;0.1288;nr_of_nano_5_tradeoff_0.1;;P;-
156;240418;537;0.01;0.02128;0.02835;390;0.0116;0.842;i-PrOH;1180;;0.546;1;4;NPL;1;0.3541;nr_of_nano_5_tradeoff_100;;P;-
157;240418;657;0.01;0.02128;0.02835;166;0.0167;0.422;n-PrOH;1095;;0.617;1;-;NPL;0;0.2111;nr_of_nano_6_tradeoff_0.1;;P;-
158;240418;534;0.01;0.02128;0.02835;13;0.0115;0.028;MeOH;3855;;0.762;0;-;-;0;0;nr_of_nano_6_tradeoff_100;;P;-
159;240418;1880;0.01;0.02128;0.02835;490;0.0152;0.396;n-PrOH;4055;;0.617;1;-;NPL;0;0.4171;nr_of_nano_7_tradeoff_0.1;;P;-
160;240418;1045;0.01;0.02128;0.02835;499;0.0177;0.845;MeOH;724;;0.762;1;12;NC;1;0.0254;nr_of_nano_7_tradeoff_100;1;P;-
161;240418;799;0.01;0.02128;0.02835;259;0.0106;0.344;n-PrOH;2125;;0.617;1;-;NPL;0;0.4593;nr_of_nano_8_tradeoff_0.1;;P;-
162;240418;550;0.01;0.02128;0.02835;294;0.0157;0.839;EtOH;4725;;0.654;0;-;-;0;0;nr_of_nano_8_tradeoff_100;;P;-
163;240422;3000;0.01;0.02128;0.02835;150;0.02;0.1;DMF;2000;;0.386;0;-;-;0;0;;;-;-
164;240422;3000;0.01;0.02128;0.02835;150;0.02;0.1;DMF;2750;;0.386;0;-;-;0;0;;;-;-
165;240422;1500;0.01;0.02128;0.02835;150;0.02;0.2;DMF;1500;;0.386;0;-;-;0;0;;;-;-
166;240422;1500;0.01;0.02128;0.02835;150;0.02;0.2;DMF;2000;;0.386;0;-;-;0;0;;;-;-
167;240422;3000;0.01;0.02128;0.02835;150;0.02;0.1;DMSO;1750;;0.444;0;-;-;0;0;;;-;-
168;240422;3000;0.01;0.02128;0.02835;150;0.02;0.1;DMSO;2000;;0.444;0;-;-;0;0;;;-;-
169;240422;1500;0.01;0.02128;0.02835;150;0.02;0.2;DMSO;1000;;0.444;0;-;-;0;0;;;-;-
170;240422;1500;0.01;0.02128;0.02835;150;0.02;0.2;DMSO;2000;;0.444;0;-;-;0;0;;;-;-
171;240422;3000;0.01;0.02128;0.02835;150;0.02;0.1;ACN;1250;;0.46;0;-;-;0;0;;;-;-
172;240422;3000;0.01;0.02128;0.02835;150;0.02;0.1;ACN;2000;;0.46;0;-;-;0;0;;;-;-
173;240422;1500;0.01;0.02128;0.02835;150;0.02;0.2;ACN;750;;0.46;0;-;-;0;0;;;-;-
174;240422;1500;0.01;0.02128;0.02835;150;0.02;0.2;ACN;2000;;0.46;0;-;-;0;0;;;-;-
